Sr. No.,State/ Union Territory,No. of Common Bio- Medical Waste Treatment and Disposal Facilities,Registered dismantlers / recyclers of e-Waste
1,Andaman & Nicobar,0,0
2,Andhra Pradesh,17,2
3,Arunachal Pradesh,0,0
4,Assam,5,0
5,Bihar,3,0
6,Chandigarh,2,0
7,Chhattisgarh,5,2
8,Daman & Diu and Dadra & Nagar Haveli,1,0
9,Delhi,3,0
10,Goa,0,0
11,Gujarat,15,7
12,Haryana,11,14
13,Himachal Pradesh,2,0
14,Jharkhand,1,0
15,J&K,4,0
16,Karnataka,18,52
17,Kerala,1,0
18,Lakshadweep,0,0
19,Madhya Pradesh,14,2
20,Maharashtra,40,24
21,Manipur,0,0
22,Meghalaya,1,0
23,Mizoram,0,0
24,Nagaland,0,0
25,Orissa,5,0
26,Pudducherry,1,0
27,Punjab,4,0
28,Rajasthan,12,9
29,Sikkim,NA,0
30,Tamil Nadu,11,16
31,Tripura,1,0
32,Uttrakhand,2,3
33,Uttar Pradesh,14,16
34,West Bengal,5,1
Total,Total,198,148
