Entity,Code,Year,Average annual hours worked per employed person (Bick et al 2019),Annual working hours per worker,Annual working hours for full-time production workers in non-agricultural activities (Huberman & Minns 2007),143615-annotations,Average annual hours actually worked per worker (OECD)
Argentina,ARG,1950,,2034,,,
Argentina,ARG,1951,,2037.8667525967949,,,
Argentina,ARG,1952,,2041.740856115736,,,
Argentina,ARG,1953,,2045.622324531354,,,
Argentina,ARG,1954,,2049.511171844748,,,
Argentina,ARG,1955,,2053.407412083632,,,
Argentina,ARG,1956,,2057.3110593023894,,,
Argentina,ARG,1957,,2061.2221275821203,,,
Argentina,ARG,1958,,2065.1406310306943,,,
Argentina,ARG,1959,,2069.066583782801,,,
Argentina,ARG,1960,,2073,,,
Argentina,ARG,1961,,2066.2005116511955,,,
Argentina,ARG,1962,,2059.42332578276,,,
Argentina,ARG,1963,,2052.6683692420384,,,
Argentina,ARG,1964,,2045.9355691163169,,,
Argentina,ARG,1965,,2039.224852732037,,,
Argentina,ARG,1966,,2032.536147654013,,,
Argentina,ARG,1967,,2025.869381684646,,,
Argentina,ARG,1968,,2019.2244828631483,,,
Argentina,ARG,1969,,2012.6013794647647,,,
Argentina,ARG,1970,,2006,,,
Argentina,ARG,1971,,2002.661112336839,,,
Argentina,ARG,1972,,1999.3277820868525,,,
Argentina,ARG,1973,,1996,,,
Argentina,ARG,1974,,1992.842194737323,,,
Argentina,ARG,1975,,1989.6893853334025,,,
Argentina,ARG,1976,,1986.541563884456,,,
Argentina,ARG,1977,,1983.3987224992045,,,
Argentina,ARG,1978,,1980.2608532988563,,,
Argentina,ARG,1979,,1977.127948417083,,,
Argentina,ARG,1980,,1974,,,
Argentina,ARG,1981,,1961.230056664269,,,
Argentina,ARG,1982,,1948.5427229804104,,,
Argentina,ARG,1983,,1935.9374645408404,,,
Argentina,ARG,1984,,1923.4137503950928,,,
Argentina,ARG,1985,,1910.9710530274576,,,
Argentina,ARG,1986,,1898.6088483347608,,,
Argentina,ARG,1987,,1886.326615604288,,,
Argentina,ARG,1988,,1874.123837491852,,,
Argentina,ARG,1989,,1862,,,
Argentina,ARG,1990,,1850,,,
Argentina,ARG,1991,,1837.960826568401,,,
Argentina,ARG,1992,,1826,,,
Argentina,ARG,1993,,1850.3378069963333,,,
Argentina,ARG,1994,,1875,,,
Argentina,ARG,1995,,1881.9611380085464,,,
Argentina,ARG,1996,,1888.948119986359,,,
Argentina,ARG,1997,,1895.9610418819373,,,
Argentina,ARG,1998,,1903,,,
Argentina,ARG,1999,,1887.2850062069103,,,
Argentina,ARG,2000,,1862.1362674780216,,,
Argentina,ARG,2001,,1811.152569734652,,,
Argentina,ARG,2002,,1710.0365596731456,,,
Argentina,ARG,2003,,1713.5746140705596,,,
Argentina,ARG,2004,,1743.3998755515925,,,
Argentina,ARG,2005,,1771.678525116211,,,
Argentina,ARG,2006,,1775.920325683024,,,
Argentina,ARG,2007,,1787.5447239313903,,,
Argentina,ARG,2008,,1789.7649726240063,,,
Argentina,ARG,2009,,1751.6228442566403,,,
Argentina,ARG,2010,,1760.2247824375163,,,
Argentina,ARG,2011,,1760.2303688691725,,,
Argentina,ARG,2012,,1736.103360116803,,,
Argentina,ARG,2013,,1725.8735529094804,,,
Argentina,ARG,2014,,1705.4283684101129,,,
Argentina,ARG,2015,,1703.4685392099657,,,
Argentina,ARG,2016,,1646.512532317421,,,
Argentina,ARG,2017,,1648.8128319055493,,,
Argentina,ARG,2018,,1638.4400391564332,,,
Argentina,ARG,2019,,1609.0689977826453,,,
Australia,AUS,1950,,2170.9234060001418,2023,,
Australia,AUS,1951,,2150.846928124357,,,
Australia,AUS,1952,,2130.956115464942,,,
Australia,AUS,1953,,2111.2492510089432,,,
Australia,AUS,1954,,2091.724633622168,,,
Australia,AUS,1955,,2072.3805779023382,,,
Australia,AUS,1956,,2053.2154140336047,,,
Australia,AUS,1957,,2034.227487642404,,,
Australia,AUS,1958,,2015.41515965465,,,
Australia,AUS,1959,,1996.776806154248,,,
Australia,AUS,1960,,1978.310818242911,1945,,
Australia,AUS,1961,,1974.661182050351,,,
Australia,AUS,1962,,1971.0182787959195,,,
Australia,AUS,1963,,1967.382096058528,,,
Australia,AUS,1964,,1963.752621440001,,,
Australia,AUS,1965,,1960.1298425650373,,,
Australia,AUS,1966,,1956.5137470811665,,,
Australia,AUS,1967,,1952.904322658704,,,
Australia,AUS,1968,,1949.301556990712,,,
Australia,AUS,1969,,1945.7054377929585,,,
Australia,AUS,1970,,1942.115952803873,1837,,
Australia,AUS,1971,,1923.4794331106448,,,
Australia,AUS,1972,,1903.148684354397,,,
Australia,AUS,1973,,1889.80663048311,,,
Australia,AUS,1974,,1907.0665890626328,,,
Australia,AUS,1975,,1893.830424507784,,,
Australia,AUS,1976,,1904.2075775187848,,,
Australia,AUS,1977,,1906.007695898245,,,
Australia,AUS,1978,,1906.8548104297552,,,
Australia,AUS,1979,,1912.2551655681336,,,
Australia,AUS,1980,,1909.762827310066,1815,,
Australia,AUS,1981,,1894.8094482427784,,,
Australia,AUS,1982,,1870.6583170695112,,,
Australia,AUS,1983,,1857.0141304391404,,,
Australia,AUS,1984,,1878.1584611765384,,,
Australia,AUS,1985,,1869.260236163572,,,1876
Australia,AUS,1986,,1873.874479024072,,,1877
Australia,AUS,1987,,1871.6334166372408,,,1889
Australia,AUS,1988,,1867.8535516565776,,,1885
Australia,AUS,1989,,1877.780871203877,,,1875
Australia,AUS,1990,,1863.9597606640432,1806,,1853
Australia,AUS,1991,,1850.4849851871825,,,1837
Australia,AUS,1992,,1846.5440602020888,,,1857
Australia,AUS,1993,,1863.784511139976,,,1868
Australia,AUS,1994,,1869.9487517217176,,,1863
Australia,AUS,1995,,1870.329577799448,,,1849
Australia,AUS,1996,,1863.822992076296,,,1850
Australia,AUS,1997,,1861.0985084276329,,,1838
Australia,AUS,1998,,1846.6295588496605,,,1843
Australia,AUS,1999,,1848.475002863224,,,1843
Australia,AUS,2000,,1847.4800680912945,1797,,1831
Australia,AUS,2001,,1814.12893219708,,,1814
Australia,AUS,2002,,1808.121110285796,,,1794
Australia,AUS,2003,,1801.574335876027,,,1798
Australia,AUS,2004,,1799.364187000947,,,1801
Australia,AUS,2005,,1797.0736019002306,,,1802
Australia,AUS,2006,,1786.9062929171284,,,1801
Australia,AUS,2007,,1786.2519953335295,,,1797
Australia,AUS,2008,,1786.4765795004903,,,1754
Australia,AUS,2009,,1757.9603951166655,,,1779
Australia,AUS,2010,,1763.3227871291754,,,1755
Australia,AUS,2011,,1765.2895469442872,,,1772
Australia,AUS,2012,,1757.2184503263384,,,1760
Australia,AUS,2013,,1756.289630422355,,,1765
Australia,AUS,2014,,1746.4962390251244,,,1761
Australia,AUS,2015,,1746.483472454062,,,1733
Australia,AUS,2016,,1736.0810643034165,,,1740
Australia,AUS,2017,,1736.800304129141,,,1726
Australia,AUS,2018,,1729.3420631214626,,,1723
Australia,AUS,2019,,1726.797659012843,,,1712
Australia,AUS,1870,,,2792,,
Australia,AUS,1880,,,2647,,
Australia,AUS,1890,,,2501,,
Australia,AUS,1900,,,2385,,
Australia,AUS,1913,,,2214,,
Australia,AUS,1929,,,2186,,
Australia,AUS,1938,,,2109,,
Austria,AUT,1995,1686.32495117188,1774.4363878643928,,,1653
Austria,AUT,1996,1682.23303222656,1807.270616788899,,,1683
Austria,AUT,1997,1713.46765136719,1815.691955670728,,,1691
Austria,AUT,1998,1697.43298339844,1794.030506559538,,,1671
Austria,AUT,1999,1700.82800292969,1797.97135268246,,,1675
Austria,AUT,2000,1683.53173828125,1798.4322111761214,,,1675
Austria,AUT,2001,1691.20153808594,1785.4201480698043,,,1663
Austria,AUT,2002,1670.14416503906,1782.8479401224863,,,1661
Austria,AUT,2003,1667.56005859375,1773.9778545002273,,,1652
Austria,AUT,2004,1724.41918945312,1776.4658384768554,,,1655
Austria,AUT,2005,1708.32373046875,1752.4893490665909,,,1632
Austria,AUT,2006,1682.28820800781,1735.6695333098182,,,1617
Austria,AUT,2007,1672.8115234375,1724.7791403857225,,,1606
Austria,AUT,2008,1671.06616210938,1717.1951001802338,,,1599
Austria,AUT,2009,1637.02856445312,1673.0751075599262,,,1558
Austria,AUT,2010,1631.79907226562,1665.843868420603,,,1552
Austria,AUT,2011,1640.80102539062,1671.6877905789354,,,1557
Austria,AUT,2012,1612.42919921875,1647.8528759904498,,,1535
Austria,AUT,2013,1606.79040527344,1632.067624538778,,,1520
Austria,AUT,2014,1591.18713378906,1621.5657644545647,,,1510
Austria,AUT,2015,1580.37060546875,1605.2805480756217,,,1495
Austria,AUT,1950,,2085.6695531212813,,,
Austria,AUT,1951,,2083.015656403521,,,
Austria,AUT,1952,,2080.365136619454,,,
Austria,AUT,1953,,2077.717989472124,,,
Austria,AUT,1954,,2075.0742106700404,,,
Austria,AUT,1955,,2072.4337959271747,,,
Austria,AUT,1956,,2069.7967409629514,,,
Austria,AUT,1957,,2067.163041502242,,,
Austria,AUT,1958,,2064.5326932753574,,,
Austria,AUT,1959,,2061.9056920180424,,,
Austria,AUT,1960,,2059.2820334714675,,,
Austria,AUT,1961,,2046.629755627751,,,
Austria,AUT,1962,,2034.055213680348,,,
Austria,AUT,1963,,2021.5579300180605,,,
Austria,AUT,1964,,2009.137429964146,,,
Austria,AUT,1965,,1996.793241758286,,,
Austria,AUT,1966,,1984.5248965386693,,,
Austria,AUT,1967,,1972.331928324183,,,
Austria,AUT,1968,,1960.2138739967124,,,
Austria,AUT,1969,,1948.170273283552,,,
Austria,AUT,1970,,1890.137419187865,,,
Austria,AUT,1971,,1885.2879642683104,,,
Austria,AUT,1972,,1905.7499210543829,,,
Austria,AUT,1973,,1900.7312997332072,,,
Austria,AUT,1974,,1978.6624548216928,,,
Austria,AUT,1975,,1903.971649817364,,,
Austria,AUT,1976,,1898.0423832600304,,,
Austria,AUT,1977,,1904.783096738778,,,
Austria,AUT,1978,,1844.06757333888,,,
Austria,AUT,1979,,1876.680397494756,,,
Austria,AUT,1980,,1881.0353852307107,,,
Austria,AUT,1981,,1819.1412239725896,,,
Austria,AUT,1982,,1835.118889319159,,,
Austria,AUT,1983,,1829.9122813501244,,,
Austria,AUT,1984,,1825.9255298415096,,,
Austria,AUT,1985,,1821.530300974057,,,
Austria,AUT,1986,,1820.710972276033,,,
Austria,AUT,1987,,1808.7162521787484,,,
Austria,AUT,1988,,1812.131248954785,,,
Austria,AUT,1989,,1825.243228733994,,,
Austria,AUT,1990,,1826.0297782391108,,,
Austria,AUT,1991,,1836.444171343395,,,
Austria,AUT,1992,,1804.9313616325223,,,
Austria,AUT,1993,,1802.2981319687883,,,
Austria,AUT,1994,,1800.538069398797,,,
Austria,AUT,2016,,1618.2107787244922,,,1507
Austria,AUT,2017,,1608.1809674225103,,,1498
Austria,AUT,2018,,1612.6927480831005,,,1502
Austria,AUT,2019,,1611.3742228330177,,,1501
Bangladesh,BGD,1970,,2520.860073460307,,,
Bangladesh,BGD,1971,,2522.014752844116,,,
Bangladesh,BGD,1972,,2522.8999669575423,,,
Bangladesh,BGD,1973,,2523.40868598861,,,
Bangladesh,BGD,1974,,2523.7050646582115,,,
Bangladesh,BGD,1975,,2523.754881761283,,,
Bangladesh,BGD,1976,,2522.5800089561994,,,
Bangladesh,BGD,1977,,2521.492716054232,,,
Bangladesh,BGD,1978,,2520.572464783923,,,
Bangladesh,BGD,1979,,2519.8289631820926,,,
Bangladesh,BGD,1980,,2519.2601324689986,,,
Bangladesh,BGD,1981,,2519.079891803329,,,
Bangladesh,BGD,1982,,2522.794321305643,,,
Bangladesh,BGD,1983,,2526.3980710392566,,,
Bangladesh,BGD,1984,,2529.814625095732,,,
Bangladesh,BGD,1985,,2485.5731385952254,,,
Bangladesh,BGD,1986,,2442.245110297989,,,
Bangladesh,BGD,1987,,2400.8551092883827,,,
Bangladesh,BGD,1988,,2360.193412797869,,,
Bangladesh,BGD,1989,,2319.6324405531527,,,
Bangladesh,BGD,1990,,2413.833609410457,,,
Bangladesh,BGD,1991,,2507.7631808596298,,,
Bangladesh,BGD,1992,,2512.3062728093896,,,
Bangladesh,BGD,1993,,2517.237898796476,,,
Bangladesh,BGD,1994,,2522.57810325469,,,
Bangladesh,BGD,1995,,2528.3392394907023,,,
Bangladesh,BGD,1996,,2535.1076568630806,,,
Bangladesh,BGD,1997,,2541.3678684847546,,,
Bangladesh,BGD,1998,,2547.8000352796694,,,
Bangladesh,BGD,1999,,2554.3581640604084,,,
Bangladesh,BGD,2000,,2560.827162806356,,,
Bangladesh,BGD,2001,,2561.9286472900303,,,
Bangladesh,BGD,2002,,2563.549700205865,,,
Bangladesh,BGD,2003,,2565.577699628805,,,
Bangladesh,BGD,2004,,2576.8165530901306,,,
Bangladesh,BGD,2005,,2587.272669873621,,,
Bangladesh,BGD,2006,,2597.6512414852823,,,
Bangladesh,BGD,2007,,2591.94284773303,,,
Bangladesh,BGD,2008,,2586.720564312484,,,
Bangladesh,BGD,2009,,2581.948788587527,,,
Bangladesh,BGD,2010,,2577.616019890154,,,
Bangladesh,BGD,2011,,2491.949911792863,,,
Bangladesh,BGD,2012,,2405.7833943753208,,,
Bangladesh,BGD,2013,,2319.5666673777573,,,
Bangladesh,BGD,2014,,2366.9432670482884,,,
Bangladesh,BGD,2015,,2418.7508165741133,,,
Bangladesh,BGD,2016,,2473.508957771578,,,
Bangladesh,BGD,2017,,2418.882693223619,,,
Bangladesh,BGD,2018,,2418.882693223619,,,
Bangladesh,BGD,2019,,2418.882693223619,,,
Belgium,BEL,1983,1765.07678222656,1667.9081410171564,,,1674.9
Belgium,BEL,1984,1776.97668457031,1691.8771430436711,,,1699
Belgium,BEL,1985,1783.57897949219,1697.8721435505324,,,1705
Belgium,BEL,1986,1775.509765625,1677.896141861615,,,1685
Belgium,BEL,1987,1759.94177246094,1662.9191405953495,,,1669.9
Belgium,BEL,1988,1777.6640625,1650.9291395816272,,,1657.9
Belgium,BEL,1989,1782.35412597656,1641.9371388213774,,,1648.9
