Sl. No.,State/UT,State/UT-Wise Total Number of Road Accidents during - 2014,State/UT-Wise Total Number of Road Accidents during - 2015,State/UT-Wise Total Number of Road Accidents during - 2016
1,Andhra Pradesh,24440,24258,24888
2,Arunachal Pradesh,205,284,249
3,Assam,7144,6959,7435
4,Bihar,9556,9555,8222
5,Chhattisgarh,13821,14446,13580
6,Goa,4229,4338,4304
7,Gujarat,23712,23183,21859
8,Haryana,10676,11174,11234
9,Himachal Pradesh,3058,3010,3168
10,Jammu & Kashmir,5861,5836,5501
11,Jharkhand,5201,5162,4932
12,Karnataka,43713,44011,44403
13,Kerala,36282,39014,39420
14,Madhya Pradesh,53472,54947,53972
15,Maharashtra,61627,63805,39878
16,Manipur,743,671,538
17,Meghalaya,542,606,620
18,Mizoram,132,70,83
19,Nagaland,305,54,75
20,Odisha,9648,10542,10532
21,Punjab,6391,6702,6952
22,Rajasthan,24628,24072,23066
23,Sikkim,203,219,210
24,Tamil Nadu,67250,69059,71431
25,Telangana,20078,21252,22811
26,Tripura,716,647,557
27,Uttarakhand,1410,1523,1591
28,Uttar Pradesh,31034,32385,35612
29,West Bengal,12875,13208,13580
30,Andaman & Nicobar Islands,218,258,238
31,Chandigarh,369,416,428
32,Dadra & Nagar Haveli,87,69,70
33,Daman & Diu,39,70,71
34,Delhi,8623,8085,7375
35,Lakshadweep,1,3,1
36,Puducherry,1111,1530,1766
Total,Total,489400,501423,480652
